Region,Site,Latitude,Longitude,Date,Season,Band_number,Alpha,Age_class,Eye_fleck,Sex,Bander,Mass,Wing,Tail,Toe,Tarsus,Max_tarsus,Culmen,Head_bill,Bill_depth,Bill_width,Bill_tip
British Columbia,Salish Sea,48.8,-123.1,2022-05-31,1,7004,UK,ASY,2c/3a,F,HR,,261,115,47,55.6,65.6,78.1,123.8,12.3,8.6,5.4
British Columbia,Pacific Rim,48.89,-125.3,2022-06-08,1,1080,L1,ASY,1c,M,MM,525,248,107,44,54.6,53.4,72.6,,13.4,12.2,5.5
British Columbia,Pacific Rim,48.89,-125.3,2022-06-08,1,1093,LK,ASY,2a,M,MM,575,246,100,47,56.4,60.2,73,,14,13,5.8
Alaska,Kenai Fjords,59.41927,-150.64326,2022-06-13,1,16545,TA,ASY,1c,M,BR,502,228,89,43,50.9,61.9,64,108.1,12.2,7.9,4.2
Alaska,Kachemak Bay,59.38746,-150.71457,2022-06-13,1,16546,A4,ASY,1b,M,BR,516,243,94,43,49.7,59.5,66.2,109.4,12.2,9.7,4.8
Alaska,Kenai Fjords,59.77702,-150.04219,2022-06-17,1,16548,C5,ASY,2b,F,BR,635,255,96,41,54.1,67,75.9,121.1,12.4,8.9,4.4
Alaska,Kachemak Bay,59.76972,-150.05727,2022-06-17,1,16547,A3,ASY,1b,M,BR,588,237,80,43,52,64.3,68.5,112.3,13.4,8.7,5.3
Alaska,Kenai Fjords,59.76972,-150.05727,2022-06-17,1,16535,C4,ASY,3b,F,BR,676,251,100,46,54.6,66.1,75.9,120.2,12.6,8.1,5
Alaska,Kenai Fjords,59.76972,-150.05727,2022-06-17,1,72287,HR,ASY,1b,M,BR,551,248,92,41,51.9,63.4,67.8,112.4,12.1,8.6,5.2
Alaska,Kenai Fjords,59.87674,-149.66516,2022-06-18,1,16549,XA,ASY,3c,F,BR,577,255,88,41,52.7,65.1,73.5,118.6,12.4,8.9,3.9
Alaska,Kenai Fjords,59.88069,-149.72324,2022-06-19,1,16552,M1,ASY,"1c,2a",M,BR,592,248,100,45,53.7,63.4,69.9,114,12.5,9.2,4.1
Alaska,Kenai Fjords,59.88069,-149.72324,2022-06-19,1,16551,P2,ASY,3c,F,BR,596,254,101,43,51.7,63.3,73.2,116.4,12,8.5,4.65
Alaska,Kenai Fjords,59.87959,-149.74079,2022-06-19,1,16550,L7,ASY,2c,F,BR,628,245,102,44,55,65.1,78.5,122.5,,,
Alaska,Kenai Fjords,59.87959,-149.74074,2022-06-19,1,16536,XH,ASY,1b,M,BR,553,237,102,43,53.6,61.8,70.8,113.8,12.3,9.6,4
Alaska,Kenai Fjords,59.73021,-149.92386,2022-06-20,1,16553,AC,ASY,2c,F,BR,604,255,100,44,54.8,66.3,73.5,118.5,12.7,9.3,4.4
Alaska,Haida Gwaii,59.73021,-149.92386,2022-06-20,1,16554,Y1,ASY,1c,M,BR,561,236,95,42,50.2,61.2,70.4,114,13.7,9,3.9
British Columbia,Pacific Rim,48.93,-125.38,2022-06-20,1,1089,M2,ASY,"3a, 3b",F,HR,520,250,105,42,52.2,62.4,78.3,120.1,12.2,7.8,5.5
British Columbia,Pacific Rim,48.93,-125.38,2022-06-20,1,1089,M2,ASY,3a/3b,F,MM,520,250,105,44,52.2,62.4,78.3,120.1,12.2,7.8,5.5
British Columbia,Pacific Rim,48.93,-125.38,2022-06-20,1,1091,P3,ASY,1b,M,JK,570,250,102,44,54.8,61,72.8,116,13,9,5.7
British Columbia,Pacific Rim,48.93,-125.38,2022-06-20,1,1091,P3,ASY,1b,M,HR,570,250,102,44,54.8,61,72.8,116,13,9,5.7
British Columbia,Pacific Rim,48.93,-125.38,2022-06-20,1,1086,U4,ASY,1/1b,M,HR,500,241,98,45,52.7,58.1,71.4,114.4,12.7,8.9,5.8
British Columbia,Pacific Rim,48.93,-125.38,2022-06-20,1,1092,Y5,ASY,2a/2b,F,HR,580,250,108,43,53.7,61.6,81.9,121.5,12.5,8,6.5
British Columbia,Pacific Rim,48.89,-125.3,2022-06-22,1,1088,YY,ASY,,F,MM,630,251,100,46,52,63.1,80.2,,13.9,13.5,4.7
British Columbia,Pacific Rim,48.86,-125.16,2022-06-24,1,7977,LR,ASY,"3b, 3c",F,MM,720,259,110,46,56.7,65.6,86.8,130,12.5,8.8,3.5
British Columbia,Pacific Rim,48.86,-125.16,2022-06-24,1,1094,MC,ASY,"1b, 1c",M,HR,540,241,94,41,59,58,67.7,112.2,11.8,7.9,3.5
British Columbia,Pacific Rim,48.86,-125.16,2022-06-24,1,1095,Y7,ASY,2a,M,HR,555,242,95,43,51.3,57.1,71.5,114,12.9,7.9,5.6
Alaska,Kachemak Bay,59.4792,-151.50867,2022-06-30,1,4603,M9,ASY,3b,F,CR,555,251,100,44,56.5,61.8,78.6,122.4,13.6,7.8,4.8
British Columbia,Haida Gwaii,52.96,-131.6,2022-07-02,1,6978,LT,ASY,1c,M,HR,,,,,,,71.8,,,,
British Columbia,Haida Gwaii,52.96,-131.58,2022-07-02,1,1096,ME,ASY,3a,F,HR,650,255,101,42,53.2,58.9,77.2,123.2,14,8.1,6
British Columbia,Haida Gwaii,52.96,-131.58,2022-07-02,1,1097,P9,ASY,"1a,1b",M,HR,635,252,107,45,54.1,61.8,71,116.1,14.3,8.2,6.9
British Columbia,Haida Gwaii,52.95,-131.55,2022-07-02,1,7075,MA,ASY,"3a,3b",F,HR,540,246,100,42,52.9,58,72.2,115.7,12.4,7.5,5.9
British Columbia,Haida Gwaii,52.95,-131.55,2022-07-02,1,1098,Y2,ASY,"1c,1b",M,JK,560,251,106,45,56.1,64.4,70.6,116.8,12.8,8.1,5
British Columbia,Haida Gwaii,52.89,-131.58,2022-07-02,1,60038,L8,ASY,"1a,2c",M,HR,545,251,98,46,59,,74.2,116.8,13.6,9.1,6.1
British Columbia,Haida Gwaii,52.87,-131.5,2022-07-02,1,1100,P6,ASY,2c,F,HR,580,256,96,45,53.8,61,79.9,113.7,13.2,9.2,6.7
British Columbia,Haida Gwaii,52.87,-131.5,2022-07-02,1,1099,Y0,ASY,1b,M,HR,520,247,100,45,50.4,56.6,73.5,116.8,12.6,8.1,6
British Columbia,Haida Gwaii,52.91,-131.54,2022-07-03,1,61751,Y3,ASY,"3a,3b",F,HR,555,253,103,47,52.7,61.1,76.1,119.6,12.9,8.2,6.4
British Columbia,Haida Gwaii,52.86,-131.53,2022-07-03,1,20168,LH,ASY,2b,F,HR,530,248,99,46,53.2,62,79.1,120.8,13.1,8.7,6
British Columbia,Haida Gwaii,52.86,-131.53,2022-07-03,1,7078,MJ,ASY,"1b,1a",M,HR,520,258,102,44,52.8,57.9,73.6,116,13.1,9,5.6
British Columbia,Haida Gwaii,52.91,-131.62,2022-07-04,1,61752,LU,ASY,2c,F,JK,540,251,102,40,52,60.7,74.1,117.8,13.1,9,5.9
British Columbia,Haida Gwaii,52.91,-131.62,2022-07-04,1,7079,MY,ASY,1c,M,JK,,258,101,46,51.7,61.4,69.6,114.4,13.8,9.1,5.9
British Columbia,Haida Gwaii,52.95,-131.57,2022-07-05,1,61753,M0,ASY,"1b, 1c",M,JK,560,245,100,45,55.9,64.8,75,119.6,13.5,10,5.8
British Columbia,Haida Gwaii,52.95,-131.57,2022-07-05,1,61754,P4,ASY,3b,F,HR,570,253,103,45,51.3,64.9,74,118.3,13.5,8.2,6.4
British Columbia,Haida Gwaii,52.88,-131.5,2022-07-06,1,61756,L5,ASY,3a,F,JK,560,259,102,47,56.5,64,79.4,126.2,14.2,9.2,5.5
British Columbia,Haida Gwaii,52.88,-131.5,2022-07-06,1,61755,P0,ASY,"2b,1c",M,JK,540,250,99,45,55,63.7,69.6,114.3,13,7.5,6.1
British Columbia,Haida Gwaii,,,2022-07-11,1,7022,KA,ASY,"3a,3c",F,HR,580,255,107,45,54.1,62.2,80.6,125.7,12.9,8.8,5
Alaska,Katmai,58.5544,-153.72987,2022-07-13,1,4556,MP,ASY,"2a,1a",M,CR,562,237,100,41,50.9,56.6,66.1,109.6,13,8.9,5.4
British Columbia,Haida Gwaii,53.21,-132.24,2022-07-13,1,7090,L3,ASY,3b,F,HR,570,250,101,45,54.1,64.1,75.4,119.8,12.4,8.1,5.1
British Columbia,Haida Gwaii,53.21,-132.24,2022-07-13,1,61758,M7,ASY,"2c, 3a",M,JK,550,251,101,43,51.5,60.2,71.5,115.6,12,7.9,5.4
British Columbia,Haida Gwaii,53.21,-132.24,2022-07-13,1,1057,TK,ASY,1c,M,JK,495,248,,44,50.5,61.4,71.3,115,11.8,8.4,5.3
British Columbia,Haida Gwaii,53.21,-132.24,2022-07-13,1,61757,Y8,ASY,"2c, 3a",F,JK,560,255,104,45,53.8,62.5,80.1,123,11.7,7.9,5.3
Alaska,Katmai,58.31166,-154.27196,2022-07-14,1,4552,L9,ASY,1a,M,CR,595,261,98,47,54.7,64,69.8,113,13.2,10.5,4.5
Alaska,Katmai,58.31166,-154.27196,2022-07-14,1,4553,P8,ASY,3c,F,CR,532,259,102,41,56.1,63.1,72.3,114.5,12.4,8.6,5.2
British Columbia,Haida Gwaii,53.24,-132.07,2022-07-15,1,7091,AH,ASY,2a,M,HR,570,260,107,44,51.5,59.3,71.4,114.9,12.4,8.6,5.3
British Columbia,Haida Gwaii,53.24,-132.07,2022-07-15,1,35704,U6,ASY,2a,F,HR,585,257,98,,53.9,62.9,74.4,117.3,12.8,8.6,5.7
Alaska,Katmai,58.07207,-154.48019,2022-07-16,1,16538,A7,ASY,"3b,3c",F,CR,577,251,105,45,55.5,64.2,78.2,124.9,14.3,9,5.4
Alaska,Katmai,58.07207,-154.48019,2022-07-16,1,16508,G08,ASY,1a,M,CR,567,255,102,44,,,68.1,114.5,12.4,8.1,5.4
Alaska,Katmai,58.06739,-154.4622,2022-07-17,1,4554,MU,ASY,2c,M,CR,537,245,92,43,54,62,66.2,107.5,12,8,5.3
Alaska,Katmai,58.06739,-154.4622,2022-07-18,1,4555,P7,ASY,"3c,3b",F,CR,582,247,96,44,54.2,64.3,73.4,118.9,12.4,8.1,5.9
Alaska,Katmai,58.25608,-154.20362,2022-07-19,1,16502,RH,ASY,3a,F,CR,593,259,104,46,54.1,66.7,,122.5,13.9,9.9,5
